,GEOGRAPHYCODE,NoOfPpl,Area_hect,Density_ppl_hect,RoomsPerHouse,BedroomsPerHouse,PcNoCentralHeat,NoOfDwells,PcDetached,PcSemiD,PcTerraced,PcFlatpurposebuilt,PcFlatofHse,PcFlatCommercial,PcMobile,Latitude,Longitude,Deprivation,Price,Count,beach,park,sports,marina,supermarket,foodstore,restaurant,takeaway,bar,nightclub,school,university,shoppincentre,pawnshop,betting,postoffice,doctor,hospital,transport,religion,hotel,waste,office,industry
776,W00004962,273,273,8.53,5.496296296,2.674074074,0.740740741,141,4.255319149,70.92198582,1.418439716,9.219858156,8.510638298,5.673758865,0.0,51.5713848,-3.756383000000001,500.0,91846.5,30,2966,0,1,2691,1853,1,1,0,1,0,4099,491,3520,0,0,2757,3302,4392,2279,1668,0,4902,0,5
777,W00004963,267,267,630.95,5.555555556,2.674603175,0.793650794,133,1.503759398,81.95488722,4.511278195,9.022556391,3.007518797,0.0,0.0,51.57927366666666,-3.769059666666666,500.0,88491.66666666667,12,2825,0,0,1722,686,0,0,1,1,0,2865,1598,2305,0,0,1551,2091,3151,1693,973,0,4489,1,7
778,W00004964,233,233,101.31,4.756302521,2.210084034,2.521008403,132,7.518796992,15.03759398,56.39097744,15.03759398,4.511278195,0.751879699,0.751879699,51.65101655555556,-3.815611222222224,278.0,66163.04347826086,23,5670,1,2,6470,333,0,0,0,0,0,1016,1428,5452,0,0,1338,1274,4662,1184,1456,0,1556,0,9
779,W00004965,320,320,107.91,6.15503876,3.0,0.775193798,136,42.64705882,29.41176471,16.17647059,4.411764706,7.352941176,0.0,0.0,51.64713830000001,-3.8100246000000006,221.0,129404.53125,32,5307,1,2,5934,685,0,0,0,1,0,1509,1612,4955,0,0,1031,1514,4706,1374,1953,0,1571,0,12
780,W00004966,287,287,7.11,5.67826087,2.791304348,0.869565217,116,15.83333333,15.0,45.83333333,16.66666667,5.833333333,0.0,0.833333333,51.649271125000006,-3.814494875,278.0,99475.52,25,5487,1,1,6261,458,0,0,0,0,0,1215,1537,5246,0,0,1155,1400,4741,1291,1658,0,1523,0,10
781,W00004968,338,338,5.71,5.365517241,2.751724138,0.0,152,4.605263158,47.36842105,36.84210526,10.52631579,0.657894737,0.0,0.0,51.64875033333333,-3.8107706666666665,221.0,86150.0,23,5473,1,1,6120,498,0,0,0,0,0,1322,1464,5141,0,0,1170,1355,4605,1222,1766,0,1651,0,10
782,W00004969,296,296,3.34,4.81300813,2.357723577,0.0,128,2.34375,50.78125,46.875,0.0,0.0,0.0,0.0,51.64827350000001,-3.8127125,221.0,73556.59090909091,22,5397,1,1,6114,543,0,0,0,1,0,1343,1570,5112,0,0,1075,1449,4735,1325,1787,0,1519,0,10
783,W00004970,259,259,10.69,5.016666667,2.425,1.666666667,126,1.587301587,9.523809524,61.9047619,25.3968254,0.793650794,0.0,0.793650794,51.646033,-3.8189736,278.0,71286.25,24,5093,0,3,6047,918,0,0,0,1,0,1580,2009,4973,0,0,787,1866,4550,1084,2007,1,1049,0,12
784,W00004971,267,267,3.93,5.447761194,2.656716418,1.492537313,147,2.040816327,5.442176871,78.23129252,5.442176871,8.163265306,0.680272109,0.0,51.65886042857143,-3.802676142857144,109.0,104991.86046511628,43,6692,1,8,7065,695,1,23,11,18,1,422,217,6202,1,2,424,233,3414,102,568,3,2526,9,8
785,W00004972,247,247,5.3,6.110169492,2.966101695,2.542372881,126,2.380952381,52.38095238,38.0952381,3.968253968,3.174603175,0.0,0.0,51.657878,-3.801043166666666,109.0,118195.0,41,6614,1,7,6936,836,1,16,11,13,1,458,334,6089,0,2,580,390,3407,244,701,1,2609,9,9
786,W00004973,298,298,4.12,4.194444444,2.061111111,2.777777778,201,0.995024876,3.482587065,46.26865672,43.28358209,1.492537313,3.980099502,0.497512438,51.659609777777774,-3.806891,109.0,65246.66666666666,42,6710,1,6,7209,588,2,21,9,17,1,614,348,6306,1,1,262,156,3584,203,514,3,2273,8,8
787,W00004974,246,246,7.43,4.696,2.424,2.4,131,0.763358779,3.816793893,92.36641221,1.526717557,0.763358779,0.763358779,0.0,51.6584,-3.8081965,82.0,62833.333333333336,45,6561,2,5,7100,647,1,22,9,15,1,590,491,6181,1,1,415,312,3738,285,673,3,2145,8,9
788,W00004975,277,277,3.3,5.308270677,2.586466165,1.503759398,147,0.680272109,5.442176871,85.03401361,4.081632653,3.401360544,1.360544218,0.0,51.657832250000006,-3.805692375,109.0,79853.125,48,6533,2,5,6997,689,1,19,9,14,1,650,407,6101,0,1,459,288,3646,162,683,3,2296,8,9
789,W00004976,203,203,4.11,4.610619469,2.115044248,0.884955752,127,3.149606299,3.937007874,56.69291339,35.43307087,0.787401575,0.0,0.0,51.6569755,-3.80969025,82.0,60094.73684210526,19,6387,1,5,6974,460,0,11,7,9,1,574,668,6036,0,1,600,498,3918,440,861,0,2005,7,9
790,W00004977,267,267,2.12,5.158333333,2.508333333,0.833333333,130,1.538461538,3.076923077,88.46153846,5.384615385,0.0,1.538461538,0.0,51.6567732,-3.8080522,82.0,64483.333333333336,45,6385,2,5,6922,495,1,11,7,10,1,679,602,6000,0,1,587,453,3846,361,838,0,2110,8,9
791,W00004978,218,218,3.31,4.237704918,1.909836066,0.0,125,1.6,5.6,60.8,32.0,0.0,0.0,0.0,51.65671066666667,-3.804168666666666,109.0,69167.39130434782,23,6435,2,7,6852,682,1,12,7,12,1,675,473,5969,0,2,600,413,3652,247,799,0,2372,9,9
792,W00004979,286,286,4.54,4.859259259,2.42962963,3.703703704,149,1.342281879,3.355704698,83.89261745,8.053691275,3.355704698,0.0,0.0,51.655015428571424,-3.809748142857144,82.0,70742.57575757576,33,6171,1,2,6765,269,1,6,3,5,0,726,827,5820,0,1,806,681,4063,582,1062,0,1962,3,9
793,W00004980,273,273,3.1,4.419354839,2.064516129,1.935483871,177,2.259887006,2.824858757,58.1920904,33.33333333,1.694915254,1.694915254,0.0,51.65617618181818,-3.807100545454545,109.0,69985.85365853658,41,6333,2,5,6841,488,0,11,3,10,1,771,614,5927,0,1,644,490,3841,368,883,0,2162,7,9
794,W00004981,261,261,4.0,5.111111111,2.518518519,2.222222222,147,1.360544218,8.163265306,87.07482993,0.680272109,2.040816327,0.680272109,0.0,51.65474575,-3.80699375,82.0,63431.52173913043,46,6179,1,3,6685,401,0,7,3,5,0,877,749,5768,0,1,802,642,3944,505,1037,0,2148,3,9
795,W00004982,290,290,3.81,4.887931034,2.663793103,0.862068966,122,5.737704918,48.36065574,18.85245902,22.13114754,4.098360656,0.819672131,0.0,51.65256933333334,-3.807962,221.0,72055.55555555556,9,5928,1,2,6469,300,0,4,3,3,0,1019,997,5534,0,1,1049,893,4163,755,1288,0,2071,0,10
796,W00004983,274,274,4.14,5.295652174,2.565217391,0.0,123,6.504065041,42.27642276,34.95934959,15.44715447,0.81300813,0.0,0.0,51.65268666666666,-3.809542333333333,221.0,84988.33333333333,48,5919,1,2,6512,190,1,3,3,3,0,950,1034,5561,0,1,1054,912,4230,788,1302,0,1962,0,10
797,W00004984,246,246,4.03,4.529411765,2.058823529,2.941176471,140,1.428571429,9.285714286,45.71428571,37.85714286,3.571428571,2.142857143,0.0,51.65226933333333,-3.8115905,278.0,72930.0,25,5848,1,2,6510,106,1,2,2,3,0,933,1148,5536,0,0,1136,1011,4364,902,1374,0,1822,0,10
798,W00004985,238,238,3.27,4.411764706,2.0,0.0,142,0.704225352,11.26760563,30.28169014,55.63380282,1.408450704,0.704225352,0.0,51.6512628,-3.8142918,278.0,68500.0,18,5709,1,2,6464,253,1,0,1,2,0,997,1349,5460,0,0,1310,1201,4577,1104,1441,0,1644,0,10
799,W00004986,285,285,6.01,5.455284553,2.756097561,0.0,126,2.380952381,39.68253968,57.14285714,0.0,0.0,0.793650794,0.0,51.6656084,-3.7908924,261.0,84788.57142857143,35,7639,1,2,7700,1020,0,3,1,1,0,689,948,6967,0,0,1139,661,2307,1179,891,0,3546,0,6
800,W00004987,322,322,40.64,4.76744186,2.682170543,0.775193798,139,2.877697842,14.38848921,69.78417266,10.79136691,2.158273381,0.0,0.0,51.664691,-3.788229333333333,261.0,46214.28571428572,7,7603,1,1,7586,1201,0,3,1,0,0,792,1058,6881,0,0,1285,830,2246,1272,1098,0,3678,0,6
801,W00004988,197,197,4.13,4.823529412,2.43697479,0.840336134,129,1.550387597,25.58139535,71.31782946,0.0,0.775193798,0.775193798,0.0,51.66562071428571,-3.799883,1416.0,100016.81818181818,44,7468,1,4,7772,405,0,20,8,13,1,442,561,6867,1,0,603,160,2800,627,348,3,2988,5,7
802,W00004989,237,237,7.25,5.182608696,2.47826087,0.0,123,4.06504065,16.2601626,66.66666667,6.504065041,4.06504065,2.43902439,0.0,51.6657972,-3.7949056,261.0,99154.57142857143,35,7577,1,2,7746,747,0,3,2,6,0,522,751,6972,0,0,896,493,2508,932,668,0,3303,0,6
803,W00004990,242,242,3.46,5.660714286,2.785714286,0.0,119,5.042016807,57.98319328,34.45378151,0.0,2.521008403,0.0,0.0,51.66419275,-3.7923225,261.0,95435.37037037036,27,7459,1,2,7551,921,0,3,1,2,0,517,780,6803,0,0,997,666,2486,1004,813,0,3394,0,7
804,W00004991,306,306,3.72,6.55,3.233333333,0.833333333,127,3.937007874,11.02362205,82.67716535,0.0,2.362204724,0.0,0.0,51.6649578,-3.7964398,1416.0,126448.61111111112,36,7458,1,2,7666,634,0,15,3,8,0,391,611,6876,1,0,759,377,2649,797,541,2,3167,2,7
805,W00004992,181,181,8.85,3.88372093,1.744186047,0.775193798,138,0.724637681,7.971014493,13.04347826,67.39130435,8.695652174,2.173913043,0.0,51.66486791666666,-3.8033785,49.0,80825.14814814815,27,7333,1,5,7731,154,3,22,8,13,1,478,461,6817,1,0,383,101,3049,393,119,3,2736,8,7
806,W00004993,249,249,8.96,5.831858407,2.743362832,0.884955752,119,3.361344538,40.33613445,52.94117647,3.361344538,0.0,0.0,0.0,51.6632977,-3.795620800000001,1416.0,121800.0,31,7296,2,3,7475,711,0,13,2,9,0,273,534,6693,0,0,753,469,2722,763,588,1,3146,3,7
807,W00004994,257,257,8.69,5.409090909,2.618181818,0.909090909,118,0.0,8.474576271,86.44067797,1.694915254,2.542372881,0.847457627,0.0,51.66355683333333,-3.800071916666667,49.0,99262.36111111112,36,7242,1,5,7547,408,1,22,7,14,1,226,341,6719,1,0,466,197,2943,507,280,3,2874,8,7
808,W00004995,198,198,25.31,4.145299145,2.034188034,0.0,111,1.652892562,16.52892562,34.7107438,42.97520661,4.132231405,0.0,0.0,51.662303,-3.79344075,261.0,69300.0,10,7235,2,4,7349,887,0,4,3,5,0,366,628,6588,0,1,889,652,2687,829,756,0,3249,1,7
809,W00004996,234,234,6.57,4.89516129,2.306451613,0.806451613,131,1.515151515,6.060606061,60.60606061,20.45454545,6.060606061,5.303030303,0.0,51.66122523529412,-3.802536882352941,49.0,97669.55555555556,54,6950,1,6,7321,455,3,25,9,17,1,273,53,6465,1,1,272,110,3236,278,315,3,2617,8,8
810,W00004997,258,258,19.56,4.167741935,2.058064516,1.935483871,195,1.025641026,2.564102564,31.28205128,42.56410256,6.153846154,16.41025641,0.0,51.66233684999999,-3.806222183333333,49.0,93004.73170731709,41,7017,1,6,7494,281,4,21,9,16,1,526,325,6604,1,1,44,46,3367,61,227,3,2432,8,8
811,W00004998,328,328,6.46,6.776,3.24,1.6,134,8.955223881,25.37313433,58.95522388,2.985074627,3.731343284,0.0,0.0,51.66115799999999,-3.7996078,1416.0,161531.42857142858,49,6992,1,8,7279,583,1,25,11,14,1,90,184,6452,1,2,470,312,3086,399,434,3,2804,9,8
812,W00004999,316,316,12.59,6.753731343,3.268656716,0.746268657,143,20.27972028,72.02797203,7.692307692,0.0,0.0,0.0,0.0,51.659469375,-3.797048375,1416.0,184693.8095238096,42,6859,1,5,7066,841,1,13,5,11,0,274,385,6264,0,2,696,524,3087,494,691,0,2919,9,8
813,W00005000,332,332,3.75,4.406976744,2.186046512,1.162790698,176,1.694915254,4.519774011,48.02259887,42.37288136,2.259887006,1.129943503,0.0,51.659719454545446,-3.8052501818181823,49.0,86916.38888888889,36,6745,1,7,7195,570,2,21,9,18,1,506,241,6308,1,1,257,76,3487,115,471,3,2384,8,8
814,W00005001,346,346,4.85,4.721854305,2.38410596,0.662251656,154,6.493506494,38.31168831,5.194805195,45.45454545,4.545454545,0.0,0.0,51.649288000000006,-3.786104428571429,199.0,68862.90909090909,22,6084,0,0,5866,1853,0,1,0,1,0,1633,1696,5201,0,0,1982,1797,3627,1645,2045,0,3130,0,10
815,W00005002,299,299,14.57,5.6,2.864,0.0,131,3.816793893,76.33587786,8.396946565,8.396946565,1.526717557,1.526717557,0.0,51.65219414285714,-3.796926571428571,199.0,80232.14285714286,14,6091,0,2,6264,1060,0,2,2,2,0,1067,1024,5455,0,1,1263,1069,3706,900,1392,0,2632,1,10
816,W00005003,343,343,11.98,5.097744361,2.714285714,2.255639098,135,2.962962963,85.92592593,2.962962963,7.407407407,0.740740741,0.0,0.0,51.649766,-3.791941,199.0,88538.88888888889,18,5962,0,0,5950,1449,0,0,0,1,0,1409,1417,5203,0,0,1679,1487,3753,1323,1782,0,2786,0,10
817,W00005004,263,263,16.07,5.008849558,2.477876106,0.884955752,115,3.47826087,92.17391304,3.47826087,0.869565217,0.0,0.0,0.0,51.648002250000005,-3.789237,199.0,84083.33333333333,18,5860,0,0,5737,1686,0,0,0,1,0,1660,1682,5028,0,0,1948,1756,3845,1594,2044,0,2875,0,10
818,W00005005,334,334,8.7,5.859375,3.15625,0.78125,132,50.75757576,32.57575758,15.15151515,1.515151515,0.0,0.0,0.0,51.649856875,-3.78889825,1711.0,115794.79591836737,49,6057,0,0,5941,1650,0,1,0,1,0,1482,1525,5236,0,0,1804,1615,3648,1459,1881,0,2979,0,10
819,W00005006,346,346,8.77,6.37007874,3.149606299,0.787401575,132,18.93939394,78.03030303,0.757575758,0.757575758,0.757575758,0.757575758,0.0,51.6571338,-3.795687800000001,1711.0,165694.32352941178,34,6640,0,3,6795,1098,2,4,3,3,0,550,607,6007,0,2,907,735,3217,617,950,0,2957,3,9
820,W00005007,284,284,4.01,5.888888889,2.871794872,0.0,120,7.5,56.66666667,30.0,5.833333333,0.0,0.0,0.0,51.65599039999999,-3.8021048,328.0,114265.0,30,6392,2,4,6744,766,0,12,5,7,0,680,534,5881,0,2,723,528,3608,356,890,0,2500,7,9
821,W00005008,280,280,8.37,6.264957265,3.111111111,2.564102564,123,12.19512195,86.99186992,0.81300813,0.0,0.0,0.0,0.0,51.65577460000001,-3.7928206,1711.0,166676.3,40,6562,0,2,6621,1341,1,2,2,2,0,775,855,5865,0,1,1156,984,3217,857,1192,0,3099,1,10
822,W00005009,270,270,6.24,5.619834711,2.925619835,1.652892562,132,34.09090909,42.42424242,10.60606061,10.60606061,2.272727273,0.0,0.0,51.654491625000006,-3.796081375,199.0,161460.0,40,6352,0,2,6508,1123,1,3,3,2,0,824,819,5712,0,1,1089,900,3465,744,1183,0,2834,1,10
823,W00005010,280,280,10.11,6.007633588,2.839694656,0.0,143,30.76923077,30.06993007,5.594405594,30.76923077,2.797202797,0.0,0.0,51.65587508333332,-3.79905025,328.0,120775.0,62,6436,1,3,6692,958,1,7,5,7,0,651,589,5863,0,2,840,649,3475,489,957,0,2707,4,9
824,W00005011,299,299,4.9,5.902439024,2.991869919,1.62601626,127,16.53543307,54.33070866,27.55905512,0.0,1.57480315,0.0,0.0,51.65367842857143,-3.793542571428572,1711.0,108931.0,45,6326,0,2,6395,1290,1,2,2,2,0,962,992,5629,0,1,1273,1088,3437,937,1350,0,2918,1,10
825,W00005012,288,288,9.73,6.109243697,3.0,0.0,124,16.93548387,83.06451613,0.0,0.0,0.0,0.0,0.0,51.652865,-3.791065875,1711.0,145919.35483870967,31,6304,0,2,6287,1460,1,2,2,1,0,1116,1170,5552,0,1,1458,1275,3423,1128,1521,0,3010,1,10
826,W00005013,320,320,12.45,5.278195489,2.714285714,0.751879699,137,14.59854015,29.19708029,49.6350365,1.459854015,5.109489051,0.0,0.0,51.65339725,-3.805183625,328.0,90023.38235294117,34,6060,1,2,6509,485,0,4,3,5,0,1030,848,5607,0,1,954,778,3964,620,1170,0,2264,0,10
